id,cd_estab,nm_ab_cliente,nr_nota_fis,nr_pedido,ds_ord_compra,ds_placa,ds_transp,nr_lacre,dt_hr_chegada,dt_hr_ini_carga,dt_hr_fim_carga,ds_obs_carga,id_no_show,vl_fixo,vl_base_multa,vl_multa,dt_hr_liberacao,usr_atlz_id,ds_get_status_lib,ds_status_cheg,dt_atlz
1,JAG,FFJDI,20360,299222,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
2,JAG,FFJDI,20361,299223,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
3,JAG,FFJDI,20377,299225,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
4,JAG,FFJDI,20378,299226,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
5,JAG,FFJDI,20389,299229,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
6,JAG,FFJDI,20390,299230,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
7,JAG,FFJDI,20406,299236,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
8,JAG,FFJDI,20404,299234,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
9,JAG,FFJDI,20403,299233,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
10,JAG,FFJDI,20405,299235,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
12,JAG,CDJAC,20421,887054,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
15,JAG,JCBOB,20425,887054,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
17,JAG,JUNDIÁ,20427,ord. Compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
24,JAG,JUNDIÁ,20428,ord. Compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
