id,cd_estab,nm_ab_cliente,nr_nota_fis,dt_saida,hr_grade,cd_produto,un_embalagem,qt_embalagem,qt_pilha,qt_carregada,qt_falta,id_motivo,qt_pallet,vl_base_multa,vl_multa,usr_atlz_id,base_id,dt_atlz
1,JAG,FFJDI,20360,,16:00,503500063,CX,40,0/40,0,0,,0,0,0,1,1,2016-10-30 16:04:30
2,JAG,FFJDI,20361,,11:00,503500063,CX,40,0/40,0,0,,0,0,0,1,2,2016-10-30 16:04:30
3,JAG,FFJDI,20377,,4:00,503500063,CX,52,0/52,0,0,,0,0,0,1,3,2016-10-30 16:04:30
4,JAG,FFJDI,20378,,11:00,503500063,CX,36,0/36,0,0,,0,0,0,1,4,2016-10-30 16:04:30
5,JAG,FFJDI,20389,,4:00,503500063,CX,28,0/28,0,0,,0,0,0,1,5,2016-10-30 16:04:30
6,JAG,FFJDI,20390,,11:00,503500063,CX,32,0/32,0,0,,0,0,0,1,6,2016-10-30 16:04:30
7,JAG,FFJDI,20406,,4:00,503500063,CX,28,0/28,0,0,,0,0,0,1,7,2016-10-30 16:04:30
8,JAG,FFJDI,20404,,11:00,503500063,CX,44,0/44,0,0,,0,0,0,1,8,2016-10-30 16:04:30
9,JAG,FFJDI,20403,,22:00,503500063,CX,28,0/28,0,0,,0,0,0,1,9,2016-10-30 16:04:30
10,JAG,FFJDI,20405,,16:00,503500063,CX,60,0/60,0,0,,0,0,0,1,10,2016-10-30 16:04:30
11,JAG,CDJAC,20421,,19:00,563700001,CX,6,0/6,0,0,,0,0,0,1,12,2016-10-30 16:04:30
12,JAG,CDJAC,20421,,19:00,563700002,CX,20,0/20,0,0,,0,0,0,1,12,2016-10-30 16:04:30
13,JAG,JCBOB,20425,,1:00,503500077,CX,7,0/7,0,0,,0,0,0,1,15,2016-10-30 16:04:30
14,JAG,JCBOB,20425,,1:00,503500083,CX,175,0/175,0,0,,0,0,0,1,15,2016-10-30 16:04:30
15,JAG,JCBOB,20425,,1:00,503500107,CX,2,0/2,0,0,,0,0,0,1,15,2016-10-30 16:04:30
16,JAG,JUNDIÁ,20427,,17:00,503500103,CX,1,0/1,0,0,,0,0,0,1,17,2016-10-30 16:04:30
17,JAG,JUNDIÁ,20427,,17:00,503500027,CX,4,0/4,0,0,,0,0,0,1,17,2016-10-30 16:04:30
18,JAG,JUNDIÁ,20428,,17:00,503500143,CX,1,0/1,0,0,,0,0,0,1,24,2016-10-30 16:04:30
